title,Type,Based on other media,release_date,Studio,Notes,...7,...8,...9,...10,...11,...12
Iron Will,Original,0,1994-01-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Three Musketeers,Original,1,1993-11-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cool Runnings,Original,0,1993-10-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Hocus Pocus,Original,0,1993-07-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Adventures of Huck Finn,Original,1,1993-04-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
A Far Off Place,Original,1,1993-03-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Homeward Bound: The Incredible Journey,Original,1,1993-02-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Muppet Christmas Carol,Original,1,1992-12-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Aladdin,Original,1,1992-11-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Mighty Ducks,Original,0,1992-10-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Honey, I Blew Up the Kid",Sequel,0,1992-07-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Newsies,Original,0,1992-04-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Beauty and the Beast,Original,1,1991-11-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Rocketeer,Original,1,1991-06-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Wild Hearts Can't Be Broken,Original,1,1991-05-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Shipwrecked,Original,1,1991-03-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
White Fang,Original,0,1991-01-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Rescuers Down Under,Sequel,0,1990-11-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
DuckTales the Movie: Treasure of the Lost Lamp,Original,1,1990-08-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Little Mermaid,Original,1,1989-11-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cheetah,Original,1,1989-08-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Honey, I Shrunk the Kids",Original,0,1989-06-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Indiana Jones and the Last Crusade,Sequel,0,1989-05-24T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
The Land Before Time,Original,1,1988-11-18T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Oliver & Company,Original,1,1988-11-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tucker: The Man and His Dream,Original,0,1988-08-12T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Willow,Original,0,1988-05-20T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Return to Snowy River,Sequel,0,1988-04-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Benji the Hunted,Original,0,1987-06-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Fluppy Dogs,Original,1,1986-11-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Howard the Duck,Original,1,1986-08-01T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Flight of the Navigator,Original,0,1986-08-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Great Mouse Detective,Original,1,1986-07-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Labyrinth,Original,0,1986-06-27T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
One Magic Christmas,Original,0,1985-11-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mishima: A Life in Four Chapters,Original,0,1985-10-04T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Latino,Original,0,1985-10-02T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
The Journey of Natty Gann,Original,0,1985-09-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Black Cauldron,Original,1,1985-07-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Return to Oz,Sequel,1,1985-06-21T00:00:00Z,Walt Disney Pictures,Original not made by Disney,NA,NA,NA,NA,NA,NA
Indiana Jones and the Temple of Doom,Prequel,0,1984-05-23T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Never Cry Wolf,Original,1,1983-10-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Twice Upon a Time,Original,0,1983-08-05T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Return of the Jedi,Sequel,0,1983-05-25T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Something Wicked This Way Comes,Original,1,1983-04-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Trenchcoat,Original,0,1983-03-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tex,Original,1,1982-07-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tron,Original,0,1982-07-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Night Crossing,Original,0,1982-02-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Condorman,Original,1,1981-08-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Fox and the Hound,Original,1,1981-07-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Dragonslayer,Original,0,1981-06-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Raiders of the Lost Ark,Original,0,1981-06-12T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Amy,Original,0,1981-03-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Devil and Max Devlin,Original,0,1981-03-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Popeye,Original,1,1980-12-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Herbie Goes Bananas,Sequel,0,1980-06-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Last Flight of Noah's Ark,Original,1,1980-06-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Empire Strikes Back,Sequel,0,1980-05-21T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
The Watcher in the Woods,Original,1,1980-04-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Midnight Madness,Original,0,1980-02-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Black Hole,Original,0,1979-12-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
More American Graffiti,Sequel,0,1979-08-03T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Unidentified Flying Oddball,Original,1,1979-07-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Apple Dumpling Gang Rides Again,Sequel,0,1979-06-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The North Avenue Irregulars,Original,0,1979-02-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Hot Lead and Cold Feet,Original,0,1978-07-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Cat from Outer Space,Original,0,1978-06-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Return from Witch Mountain,Sequel,0,1978-03-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Candleshoe,Original,1,1977-12-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pete's Dragon,Original,0,1977-11-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Herbie Goes to Monte Carlo,Sequel,0,1977-06-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Rescuers,Original,1,1977-06-22T00:00:00Z,Walt Disney Pictures,First animated movie to later get a sequel,NA,NA,NA,NA,NA,NA
Star Wars,Original,0,1977-05-25T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
The Littlest Horse Thieves,Original,0,1977-03-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Many Adventures of Winnie the Pooh,Original,1,1977-03-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Shaggy D.A.,Sequel,1,1976-12-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Freaky Friday,Original,1,1976-12-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Gus,Original,0,1976-07-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Treasure of Matecumbe,Original,1,1976-07-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"No Deposit, No Return",Original,0,1976-02-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Ride a Wild Pony,Original,1,1975-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Best of Walt Disney's True-Life Adventures,Original,0,1975-10-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
One of Our Dinosaurs Is Missing,Original,1,1975-07-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Apple Dumpling Gang,Original,1,1975-07-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Escape to Witch Mountain,Original,1,1975-03-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Strongest Man in the World,Original,0,1975-02-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Island at the Top of the World,Original,1,1974-12-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Castaway Cowboy,Original,0,1974-08-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Bears and I,Original,1,1974-07-31T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Herbie Rides Again,Sequel,0,1974-06-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Superdad,Original,0,1973-12-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Robin Hood,Original,1,1973-11-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
American Graffiti,Original,0,1973-08-11T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
One Little Indian,Original,0,1973-06-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Charley and the Angel,Original,1,1973-03-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The World's Greatest Athlete,Original,0,1973-02-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Snowball Express,Original,0,1972-12-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Run, Cougar, Run",Original,1,1972-10-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Napoleon and Samantha,Original,0,1972-07-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Now You See Him, Now You Don't",Original,0,1972-07-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Biscuit Eater,Original,1,1972-03-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Bedknobs and Broomsticks,Original,1,1971-12-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Million Dollar Duck,Original,1,1971-06-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Scandalous John,Original,0,1971-06-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Barefoot Executive,Original,0,1971-03-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Aristocats,Original,0,1970-12-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Wild Country,Original,1,1970-12-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Boatniks,Original,0,1970-07-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
King of the Grizzlies,Original,1,1970-02-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Computer Wore Tennis Shoes,Original,0,1969-12-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Rascal,Original,1,1969-06-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Smith!,Original,1,1969-03-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Love Bug,Original,1,1969-03-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Horse in the Gray Flannel Suit,Original,1,1968-12-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Never a Dull Moment,Original,1,1968-06-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"The One and Only, Genuine, Original Family Band",Original,1,1968-03-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Blackbeard's Ghost,Original,1,1968-02-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Happiest Millionaire,Original,1,1967-11-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Charlie, the Lonesome Cougar",Original,0,1967-10-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Jungle Book,Original,1,1967-10-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Gnome-Mobile,Original,1,1967-07-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Adventures of Bullwhip Griffin,Original,1,1967-03-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Monkeys, Go Home!",Original,1,1967-02-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Follow Me, Boys!",Original,1,1966-12-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Fighting Prince of Donegal,Original,1,1966-10-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Lt. Robin Crusoe, U.S.N.",Original,1,1966-07-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Ugly Dachshund,Original,1,1966-02-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
That Darn Cat!,Original,1,1965-12-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Monkey's Uncle,Sequel,0,1965-08-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Emil and the Detectives,Original,1,1964-12-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Those Calloways,Original,1,1964-11-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Mary Poppins,Original,1,1964-08-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Moon-Spinners,Original,1,1964-07-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Three Lives of Thomasina,Original,1,1964-06-04T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Misadventures of Merlin Jones,Original,0,1964-03-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
A Tiger Walks,Original,1,1964-03-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Sword in the Stone,Original,1,1963-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Incredible Journey,Original,1,1963-11-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Summer Magic,Original,1,1963-07-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Savage Sam,Sequel,1,1963-06-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Miracle of the White Stallions,Original,1,1963-03-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Son of Flubber,Sequel,0,1963-01-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
In Search of the Castaways,Original,1,1962-12-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Legend of Lobo,Original,1,1962-11-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Almost Angels,Original,1,1962-09-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Big Red,Original,1,1962-06-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Bon Voyage!,Original,1,1962-05-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Moon Pilot,Original,1,1962-04-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Babes in Toyland,Original,1,1961-12-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Greyfriars Bobby,Original,1,1961-07-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Nikki: Wild Dog of the North,Original,1,1961-07-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Parent Trap,Original,1,1961-06-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Absent-Minded Professor,Original,1,1961-03-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
One Hundred and One Dalmatians,Original,1,1961-01-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Swiss Family Robinson,Original,1,1960-12-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Ten Who Dared,Original,0,1960-11-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Jungle Cat,Original,0,1960-08-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Sign of Zorro,Original,1,1960-06-11T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pollyanna,Original,1,1960-05-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Kidnapped,Original,1,1960-02-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Toby Tyler or 10 Weeks with a Circus,Original,1,1960-01-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Third Man on the Mountain,Original,1,1959-11-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Darby O'Gill and the Little People,Original,1,1959-06-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Shaggy Dog,Original,1,1959-03-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Sleeping Beauty,Original,1,1959-01-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tonka,Original,1,1958-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
White Wilderness,Original,0,1958-08-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Light in the Forest,Original,1,1958-07-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Old Yeller,Original,1,1957-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Perri,Original,1,1957-08-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Johnny Tremain,Original,1,1957-06-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Westward Ho the Wagons!,Original,0,1956-12-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Secrets of Life,Original,0,1956-11-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Davy Crockett and the River Pirates,Original,0,1956-07-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Great Locomotive Chase,Original,0,1956-06-08T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Littlest Outlaw,Original,0,1955-12-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The African Lion,Original,0,1955-09-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Lady and the Tramp,Original,0,1955-06-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Davy Crockett: King of the Wild Frontier,Original,0,1955-05-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"20,000 Leagues Under the Sea",Original,0,1954-12-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Vanishing Prairie,Original,0,1954-08-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Rob Roy: The Highland Rogue,Original,0,1954-02-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Living Desert,Original,0,1953-11-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Sword and the Rose,Original,1,1953-07-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Peter Pan,Original,1,1953-02-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Story of Robin Hood,Original,1,1952-06-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Alice in Wonderland,Original,1,1951-07-28T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Treasure Island,Original,1,1950-07-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cinderella,Original,1,1950-02-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Adventures of Ichabod and Mr. Toad,Original,1,1949-10-05T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
So Dear to My Heart,Original,0,1948-11-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Melody Time,Original,0,1948-05-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Fun and Fancy Free,Original,1,1947-09-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Song of the South,Original,0,1946-11-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Make Mine Music,Original,1,1946-04-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Three Caballeros,Original,0,1945-02-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Victory Through Air Power,Original,0,1943-07-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Saludos Amigos,Original,0,1943-02-06T00:00:00Z,Walt Disney Pictures,When did prequels become bigger,NA,NA,NA,NA,NA,NA
Bambi,Original,1,1942-08-21T00:00:00Z,Walt Disney Pictures,When did it become more prominent,NA,NA,NA,NA,NA,NA
Dumbo,Original,1,1941-10-23T00:00:00Z,Walt Disney Pictures,Year with the most sequels,NA,NA,NA,NA,NA,NA
The Reluctant Dragon,Original,1,1941-06-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Fantasia,Original,0,1940-11-13T00:00:00Z,Walt Disney Pictures,"*** Movie has to be based on book story specifrically, not the world",NA,NA,NA,NA,NA,NA
Pinocchio,Original,1,1940-02-07T00:00:00Z,Walt Disney Pictures,** Does include TV shows,NA,NA,NA,NA,NA,NA
Snow White and the Seven Dwarfs,Original,1,1937-12-21T00:00:00Z,Walt Disney Pictures,* Other media doesnt include other films or real life events unless they were books. They do include myths,NA,NA,NA,NA,NA,NA
